ingredient name,ttd id,gene ID,gene symbol
Theophylline,D0F8RA,11160,ERLIN2
Theophylline,D0F8RA,945,CD33
Theophylline,D0F8RA,1329,COX5B
Theophylline,D0F8RA,3776,KCNK2
Theophylline,D0F8RA,5007,OSBP
Theophylline,D0F8RA,5465,PPARA
Theophylline,D0F8RA,29760,BLNK
Theophylline,D0F8RA,157506,RDH10
Theophylline,D0F8RA,54495,TMX3
Theophylline,D0F8RA,1565,CYP2D6
Theophylline,D0F8RA,55832,CAND1
Theophylline,D0F8RA,8337,H2AC18
Theophylline,D0F8RA,2060,EPS15
Theophylline,D0F8RA,29883,CNOT7
Theophylline,D0F8RA,3592,IL12A
Theophylline,D0F8RA,6439,SFTPB
Theophylline,D0F8RA,5972,REN
Theophylline,D0F8RA,10390,CEPT1
Theophylline,D0F8RA,1906,EDN1
Theophylline,D0F8RA,6948,TCN2
Theophylline,D0F8RA,57222,ERGIC1
Theophylline,D0F8RA,8233,ZRSR2
Theophylline,D0F8RA,4087,SMAD2
Theophylline,D0F8RA,7040,TGFB1
Theophylline,D0F8RA,51728,POLR3K
Theophylline,D0F8RA,55334,SLC39A9
Theophylline,D0F8RA,4609,MYC
Theophylline,D0F8RA,26,AOC1
Theophylline,D0F8RA,26164,MTG2
Theophylline,D0F8RA,57188,ADAMTSL3
Theophylline,D0F8RA,9445,ITM2B
Theophylline,D0F8RA,148789,B3GALNT2
Theophylline,D0F8RA,3386,ICAM4
Theophylline,D0F8RA,81576,YJU2B
Theophylline,D0F8RA,27,ABL2
Theophylline,D0F8RA,27125,AFF4
Theophylline,D0F8RA,51174,TUBD1
Theophylline,D0F8RA,7803,PTP4A1
Theophylline,D0F8RA,196528,ARID2
Theophylline,D0F8RA,4056,LTC4S
Theophylline,D0F8RA,9261,MAPKAPK2
Theophylline,D0F8RA,84280,BTBD10
Theophylline,D0F8RA,134,ADORA1
Theophylline,D0F8RA,23161,SNX13
Theophylline,D0F8RA,4050,LTB
Theophylline,D0F8RA,84561,SLC12A8
Theophylline,D0F8RA,59,ACTA2
Theophylline,D0F8RA,22845,DOLK
Theophylline,D0F8RA,9158,FIBP
Theophylline,D0F8RA,135,ADORA2A
Theophylline,D0F8RA,3338,DNAJC4
Theophylline,D0F8RA,10227,MFSD10
Theophylline,D0F8RA,112399,EGLN3
Theophylline,D0F8RA,23440,OTP
Theophylline,D0F8RA,25852,ARMC8
Theophylline,D0F8RA,26140,TTLL3
Theophylline,D0F8RA,1983,EIF5
Theophylline,D0F8RA,165530,CLEC4F
Theophylline,D0F8RA,79608,RIC3
Theophylline,D0F8RA,283554,GPR137C
Theophylline,D0F8RA,10613,ERLIN1
Theophylline,D0F8RA,2124,EVI2B
Theophylline,D0F8RA,4128,MAOA
Theophylline,D0F8RA,130507,UBR3
Theophylline,D0F8RA,51409,HEMK1
Theophylline,D0F8RA,9559,VPS26A
Theophylline,D0F8RA,55081,IFT57
Theophylline,D0F8RA,22933,SIRT2
Theophylline,D0F8RA,1869,E2F1
Theophylline,D0F8RA,6528,SLC5A5
Theophylline,D0F8RA,835,CASP2
Theophylline,D0F8RA,23131,GPATCH8
Theophylline,D0F8RA,10472,ZBTB18
Theophylline,D0F8RA,89781,HPS4
Theophylline,D0F8RA,1440,CSF3
Theophylline,D0F8RA,2275,FHL3
Theophylline,D0F8RA,230,ALDOC
Theophylline,D0F8RA,23011,RAB21
