diseasename,icd-11,gene symbol
Asthma,CA23,IL18R1
Asthma,CA23,IL18RAP
Asthma,CA23,IL1B
Asthma,CA23,IL1R1
Asthma,CA23,IL1R2
Asthma,CA23,IL1RL1
Asthma,CA23,IL1RN
Asthma,CA23,IL8
Asthma,CA23,IPO11
Asthma,CA23,IRAK3
Asthma,CA23,ITGAL
Asthma,CA23,ITGB5
Asthma,CA23,ITGBL1
Asthma,CA23,JUB
Asthma,CA23,KAL1
Asthma,CA23,KBTBD10
Asthma,CA23,KCNG3
Asthma,CA23,KCNT2
Asthma,CA23,KCNV1
Asthma,CA23,KIAA1383
Asthma,CA23,KIF24
Asthma,CA23,KIF5A
Asthma,CA23,KRT222
Asthma,CA23,KRTAP4-12
Asthma,CA23,KRTAP4-7
Asthma,CA23,LAPTM5
Asthma,CA23,LGALS12
Asthma,CA23,LGR4
Asthma,CA23,LGSN
Asthma,CA23,LIFR
Asthma,CA23,LIPA
Asthma,CA23,LOC100125871
Asthma,CA23,LOC100127950
Asthma,CA23,LOC100127980
Asthma,CA23,LOC100129502
Asthma,CA23,LOC100129620
Asthma,CA23,LOC100131754
Asthma,CA23,LOC100131781
Asthma,CA23,LOC100133109
Asthma,CA23,LOC100134031
Asthma,CA23,LOC100192378
Asthma,CA23,LOC100272217
Asthma,CA23,LOC100287035
Asthma,CA23,LOC100287521
Asthma,CA23,LOC100287887
Asthma,CA23,LOC100288238
Asthma,CA23,LOC100288418
Asthma,CA23,LOC100289109
Asthma,CA23,LOC100289333
Asthma,CA23,LOC100289508
Asthma,CA23,LOC100289811
Asthma,CA23,LOC145820
Asthma,CA23,LOC152586
Asthma,CA23,LOC158696
Asthma,CA23,LOC1720
Asthma,CA23,LOC257358
Asthma,CA23,LOC283079
Asthma,CA23,LOC283112
Asthma,CA23,LOC283432
Asthma,CA23,LOC283788
Asthma,CA23,LOC284576
Asthma,CA23,LOC284751
Asthma,CA23,LOC285556
Asthma,CA23,LOC285878
Asthma,CA23,LOC286002
Asthma,CA23,LOC286434
Asthma,CA23,LOC339260
Asthma,CA23,LOC339622
Asthma,CA23,LOC340017
Asthma,CA23,LOC400654
Asthma,CA23,LOC400655
Asthma,CA23,LOC400891
Asthma,CA23,LOC401022
Asthma,CA23,LOC401463
Asthma,CA23,LOC401497
Asthma,CA23,LOC401522
Asthma,CA23,LOC595101
Asthma,CA23,LOC642426
Asthma,CA23,LOC643401
Asthma,CA23,LOC643763
Asthma,CA23,LOC645158
Asthma,CA23,LOC645485
Asthma,CA23,LOC645591
Asthma,CA23,LOC653602
Asthma,CA23,LOC728613
Asthma,CA23,LOC729088
Asthma,CA23,LOC90925
Asthma,CA23,LPCAT1
Asthma,CA23,LRP1B
Asthma,CA23,LRRC19
Asthma,CA23,LRRC3B
Asthma,CA23,LRRC63
Asthma,CA23,LUM
Asthma,CA23,LY86
Asthma,CA23,LYN
Asthma,CA23,LYZ
Asthma,CA23,MAEL
Asthma,CA23,MAGEB18
Asthma,CA23,MAGEB6
Asthma,CA23,MALAT1
Asthma,CA23,MAMDC2
Asthma,CA23,MAP4K4
Asthma,CA23,MATN3
Asthma,CA23,MBLAC2
Asthma,CA23,MCAM
Asthma,CA23,MGC16703
Asthma,CA23,MYL12A
Asthma,CA23,MYL6
Asthma,CA23,MYO5B
Asthma,CA23,MYSM1
Asthma,CA23,NAALAD2
Asthma,CA23,NACAP1
Asthma,CA23,NAMPT
Asthma,CA23,NAP1L2
Asthma,CA23,NAPSB
Asthma,CA23,NCKAP5
